,eventNumber,leftMinusRight,sumSignal,topMinusBottom,xField,yField,timeStamp
27387,0.0,-0.0005949133192189038,-0.005018501076847315,3.703647234942764e-05,0.0,0.0,547.74
27388,0.0,-0.0002789427526295185,-0.005018501076847315,-0.0012268545106053352,0.0,0.0,547.76
27389,0.0,-0.000910883885808289,-0.005018501076847315,-0.0012268545106053352,0.0,0.0,547.78
27390,0.0,-0.000910883885808289,-0.004386560060083866,-0.0012268545106053352,0.0,0.0,547.8000000000001
27391,0.0,-0.0015428250189870596,-0.004702530801296234,-0.0002789427526295185,0.0,0.0,547.82
27392,0.0,-0.0012268545106053352,-0.004070589784532785,-0.000910883885808289,0.0,0.0,547.84
27393,0.0,-0.0002789427526295185,-0.005018501076847315,-0.0002789427526295185,0.0,0.0,547.86
27394,0.0,-0.000910883885808289,-0.005334471818059683,-0.0005949133192189038,0.0,0.0,547.88
27395,0.0,-0.000910883885808289,-0.004070589784532785,-0.0012268545106053352,0.0,0.0,547.9
27396,0.0,-0.0012268545106053352,-0.005018501076847315,-0.0005949133192189038,0.0,0.0,547.92
27397,0.0,-0.0018587956437841058,-0.004702530801296234,-0.000910883885808289,0.0,0.0,547.94
27398,0.0,-0.0015428250189870596,-0.005018501076847315,-0.0005949133192189038,0.0,0.0,547.96
27399,0.0,-0.003122677793726325,-0.004386560060083866,-0.0002789427526295185,0.0,0.0,547.98
27400,0.0,-0.0012268545106053352,-0.004702530801296234,-0.0015428250189870596,0.0,0.0,548.0
27401,0.0,-0.0012268545106053352,-0.004386560060083866,-0.0012268545106053352,0.0,0.0,548.02
27402,0.0,-0.0012268545106053352,-0.004702530801296234,-0.000910883885808289,0.0,0.0,548.04
27403,0.0,-0.0005949133192189038,-0.005018501076847315,0.0003530810063239187,0.0,0.0,548.0600000000001
27404,0.0,-0.0018587956437841058,-0.005334471818059683,-0.0005949133192189038,0.0,0.0,548.08
27405,0.0,-0.0018587956437841058,-0.004702530801296234,-0.000910883885808289,0.0,0.0,548.1
27406,0.0,-0.002174766268581152,-0.004386560060083866,-0.0012268545106053352,0.0,0.0,548.12
27407,0.0,-0.0018587956437841058,-0.004386560060083866,-0.000910883885808289,0.0,0.0,548.14
27408,0.0,-0.0012268545106053352,-0.004070589784532785,-0.000910883885808289,0.0,0.0,548.16
27409,0.0,-0.002174766268581152,-0.005018501076847315,-0.000910883885808289,0.0,0.0,548.1800000000001
27410,0.0,-0.0015428250189870596,-0.004070589784532785,-0.0012268545106053352,0.0,0.0,548.2
27411,0.0,-0.0015428250189870596,-0.004070589784532785,-0.0005949133192189038,0.0,0.0,548.22
27412,0.0,-0.0015428250189870596,-0.004070589784532785,-0.0005949133192189038,0.0,0.0,548.24
27413,0.0,-0.0015428250189870596,-0.004386560060083866,-0.0005949133192189038,0.0,0.0,548.26
27414,0.0,-0.0018587956437841058,-0.004702530801296234,-0.0015428250189870596,0.0,0.0,548.28
27415,0.0,-0.0024907367769628763,-0.004386560060083866,-0.002174766268581152,0.0,0.0,548.3000000000001
27416,0.0,-0.0018587956437841058,-0.004702530801296234,-0.000910883885808289,0.0,0.0,548.32
27417,0.0,-0.0015428250189870596,-0.004386560060083866,-0.0005949133192189038,0.0,0.0,548.34
27418,0.0,-0.0018587956437841058,-0.004386560060083866,-0.0002789427526295185,0.0,0.0,548.36
27419,0.0,-0.0015428250189870596,-0.004386560060083866,-0.000910883885808289,0.0,0.0,548.38
27420,0.0,-0.0024907367769628763,-0.004702530801296234,3.703647234942764e-05,0.0,0.0,548.4
27421,0.0,-0.0015428250189870596,-0.004386560060083866,-0.0002789427526295185,0.0,0.0,548.42
27422,0.0,-0.0012268545106053352,-0.003438648534938693,-0.0018587956437841058,0.0,0.0,548.44
27423,0.0,-0.0018587956437841058,-0.004070589784532785,-0.0012268545106053352,0.0,0.0,548.46
27424,0.0,-0.0024907367769628763,-0.0037546190433204174,-0.0012268545106053352,0.0,0.0,548.48
27425,0.0,-0.0024907367769628763,-0.004070589784532785,-0.0018587956437841058,0.0,0.0,548.5
27426,0.0,-0.0018587956437841058,-0.004070589784532785,-0.0018587956437841058,0.0,0.0,548.52
27427,0.0,-0.0015428250189870596,-0.0037546190433204174,-0.0005949133192189038,0.0,0.0,548.54
27428,0.0,-0.0012268545106053352,-0.0037546190433204174,-0.0012268545106053352,0.0,0.0,548.5600000000001
27429,0.0,-0.002174766268581152,-0.005018501076847315,-0.0012268545106053352,0.0,0.0,548.58
27430,0.0,-0.0018587956437841058,-0.004386560060083866,-0.0015428250189870596,0.0,0.0,548.6
27431,0.0,-0.0024907367769628763,-0.0037546190433204174,-0.0015428250189870596,0.0,0.0,548.62
27432,0.0,-0.0024907367769628763,-0.004070589784532785,-0.0015428250189870596,0.0,0.0,548.64
27433,0.0,-0.0024907367769628763,-0.004070589784532785,-0.0024907367769628763,0.0,0.0,548.66
27434,0.0,-0.003438648534938693,-0.004070589784532785,-0.002174766268581152,0.0,0.0,548.6800000000001
27435,0.0,-0.003122677793726325,-0.0037546190433204174,-0.0018587956437841058,0.0,0.0,548.7
27436,0.0,-0.0028067072853446007,-0.004070589784532785,-0.002174766268581152,0.0,0.0,548.72
27437,0.0,-0.0028067072853446007,-0.004070589784532785,-0.0024907367769628763,0.0,0.0,548.74
27438,0.0,-0.0024907367769628763,-0.0037546190433204174,-0.0012268545106053352,0.0,0.0,548.76
27439,0.0,-0.0024907367769628763,-0.004386560060083866,-0.0024907367769628763,0.0,0.0,548.78
27440,0.0,-0.003122677793726325,-0.004070589784532785,-0.0012268545106053352,0.0,0.0,548.8000000000001
27441,0.0,-0.0028067072853446007,-0.003438648534938693,-0.0018587956437841058,0.0,0.0,548.82
27442,0.0,-0.0028067072853446007,-0.0037546190433204174,-0.0018587956437841058,0.0,0.0,548.84
27443,0.0,-0.0028067072853446007,-0.0037546190433204174,-0.0024907367769628763,0.0,0.0,548.86
27444,0.0,-0.0018587956437841058,-0.0037546190433204174,-0.0024907367769628763,0.0,0.0,548.88
27445,0.0,-0.0028067072853446007,-0.0037546190433204174,-0.0018587956437841058,0.0,0.0,548.9
